,index,id,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date,Year
130,1125,43868,68,Malawi,MWI,26,26,1,CAF,1994-02-15,1994
131,1126,43839,69,Thailand,THA,26,26,0,AFC,1994-02-15,1994
132,1127,43975,70,Yugoslavia,YUG,25,26,2,UEFA,1994-02-15,1994
133,1128,43881,72,Sierra Leone,SLE,25,23,4,CAF,1994-02-15,1994
134,1129,43929,73,Peru,PER,24,24,0,CONMEBOL,1994-02-15,1994
135,1130,43863,74,Kenya,KEN,24,24,0,CAF,1994-02-15,1994
136,1131,43939,75,Cyprus,CYP,24,25,3,UEFA,1994-02-15,1994
137,1132,43836,76,Singapore,SIN,23,23,1,AFC,1994-02-15,1994
138,1133,43875,77,Niger,NIG,23,20,4,CAF,1994-02-15,1994
139,1134,43978,78,New Zealand,NZL,22,22,1,OFC,1994-02-15,1994
140,1135,43808,79,Bahrain,BHR,21,21,1,AFC,1994-02-15,1994
141,1136,43831,80,Oman,OMA,20,15,17,AFC,1994-02-15,1994
142,1137,43910,81,Jamaica,JAM,20,21,1,CONCACAF,1994-02-15,1994
143,1138,43822,42,Korea Republic,KOR,37,37,1,AFC,1994-02-15,1994
144,1139,43861,64,Guinea,GUI,29,29,1,CAF,1994-02-15,1994
145,1140,43821,63,Korea DPR,PRK,29,29,1,AFC,1994-02-15,1994
146,1141,43890,71,Zaire,ZAI,25,25,0,CAF,1994-02-15,1994
147,1142,43869,61,Mali,MLI,29,25,9,CAF,1994-02-15,1994
148,1143,43858,62,Gabon,GAB,29,30,2,CAF,1994-02-15,1994
149,1144,43951,45,Iceland,ISL,36,36,2,UEFA,1994-02-15,1994
150,1145,43892,46,Zimbabwe,ZIM,35,36,0,CAF,1994-02-15,1994
151,1146,43976,47,Australia,AUS,35,35,2,AFC,1994-02-15,1994
152,1147,43927,48,Ecuador,ECU,34,35,0,CONMEBOL,1994-02-15,1994
153,1148,43950,49,Hungary,HUN,34,34,1,UEFA,1994-02-15,1994
154,1149,43812,50,China PR,CHN,33,33,3,AFC,1994-02-15,1994
155,1150,43840,51,United Arab Emirates,UAE,33,34,0,AFC,1994-02-15,1994
156,1151,43972,52,Turkey,TUR,33,33,0,UEFA,1994-02-15,1994
157,1152,43899,44,Canada,CAN,36,36,0,CONCACAF,1994-02-15,1994
158,1153,43925,54,Chile,CHI,32,32,1,CONMEBOL,1994-02-15,1994
159,1154,43923,55,Bolivia,BOL,31,31,3,CONMEBOL,1994-02-15,1994
160,1155,43984,56,Israel,ISR,31,31,1,UEFA,1994-02-15,1994
161,1156,43817,57,IR Iran,IRN,30,31,2,AFC,1994-02-15,1994
162,1157,44002,58,Slovakia,SVK,30,2,92,UEFA,1994-02-15,1994
163,1158,43928,59,Paraguay,PAR,29,30,2,CONMEBOL,1994-02-15,1994
164,1159,43879,60,Senegal,SEN,29,32,4,CAF,1994-02-15,1994
165,1160,43834,53,Qatar,QAT,32,33,1,AFC,1994-02-15,1994
166,1161,44002,60,Slovakia,SVK,30,30,2,UEFA,1994-03-15,1994
167,1162,43817,59,IR Iran,IRN,30,30,2,AFC,1994-03-15,1994
168,1163,43879,58,Senegal,SEN,30,29,2,CAF,1994-03-15,1994
169,1164,43869,57,Mali,MLI,31,29,4,CAF,1994-03-15,1994
170,1165,43923,56,Bolivia,BOL,32,31,1,CONMEBOL,1994-03-15,1994
171,1166,43925,55,Chile,CHI,32,32,1,CONMEBOL,1994-03-15,1994
172,1167,43984,54,Israel,ISR,32,31,2,UEFA,1994-03-15,1994
173,1168,43834,53,Qatar,QAT,32,32,0,AFC,1994-03-15,1994
174,1169,43812,49,China PR,CHN,33,33,1,AFC,1994-03-15,1994
175,1170,43972,51,Turkey,TUR,32,33,1,UEFA,1994-03-15,1994
176,1171,43840,50,United Arab Emirates,UAE,33,33,1,AFC,1994-03-15,1994
177,1172,43901,48,Costa Rica,CRC,33,38,9,CONCACAF,1994-03-15,1994
178,1173,43909,47,Honduras,HON,34,38,7,CONCACAF,1994-03-15,1994
179,1174,43927,46,Ecuador,ECU,34,34,2,CONMEBOL,1994-03-15,1994
180,1175,43976,45,Australia,AUS,35,35,2,AFC,1994-03-15,1994
181,1176,43858,61,Gabon,GAB,29,29,1,CAF,1994-03-15,1994
182,1177,43950,52,Hungary,HUN,32,34,3,UEFA,1994-03-15,1994
183,1178,43861,62,Guinea,GUI,29,29,2,CAF,1994-03-15,1994
184,1179,43808,82,Bahrain,BHR,21,21,3,AFC,1994-03-15,1994
185,1180,43928,64,Paraguay,PAR,29,29,5,CONMEBOL,1994-03-15,1994
186,1181,43978,81,New Zealand,NZL,22,22,3,OFC,1994-03-15,1994
187,1182,43875,80,Niger,NIG,22,23,3,CAF,1994-03-15,1994
188,1183,43863,79,Kenya,KEN,22,24,5,CAF,1994-03-15,1994
189,1184,43959,78,Malta,MLT,22,20,5,UEFA,1994-03-15,1994
190,1185,43890,77,Zaire,ZAI,23,25,6,CAF,1994-03-15,1994
191,1186,43910,76,Jamaica,JAM,23,20,5,CONCACAF,1994-03-15,1994
192,1187,43836,75,Singapore,SIN,23,23,1,AFC,1994-03-15,1994
193,1188,43975,74,Yugoslavia,YUG,24,25,4,UEFA,1994-03-15,1994
194,1189,43881,73,Sierra Leone,SLE,24,25,1,CAF,1994-03-15,1994
195,1190,43929,72,Peru,PER,24,24,1,CONMEBOL,1994-03-15,1994
196,1191,43868,71,Malawi,MWI,25,26,3,CAF,1994-03-15,1994
197,1192,43839,70,Thailand,THA,26,26,1,AFC,1994-03-15,1994
198,1193,43939,69,Cyprus,CYP,26,24,6,UEFA,1994-03-15,1994
199,1194,43818,68,Iraq,IRQ,28,28,1,AFC,1994-03-15,1994
200,1195,43995,67,Czech Republic,CZE,24,0,0,UEFA,1994-03-15,1994
201,1196,43823,66,Kuwait,KUW,28,28,1,AFC,1994-03-15,1994
202,1197,43821,65,Korea DPR,PRK,28,29,2,AFC,1994-03-15,1994
203,1198,43904,63,El Salvador,SLV,29,28,3,CONCACAF,1994-03-15,1994
204,1199,43899,44,Canada,CAN,35,36,0,CONCACAF,1994-03-15,1994
205,1200,43916,167,St. Kitts and Nevis,SKN,0,0,2,CONCACAF,1994-03-15,1994
206,1201,43952,42,Northern Ireland,NIR,36,38,4,UEFA,1994-03-15,1994
207,1202,43963,19,Portugal,POR,49,49,0,UEFA,1994-03-15,1994
208,1203,43876,18,Nigeria,NGA,50,51,3,CAF,1994-03-15,1994
209,1204,43930,17,Uruguay,URU,51,51,1,CONMEBOL,1994-03-15,1994
210,1205,43965,16,Russia,RUS,52,53,3,UEFA,1994-03-15,1994
211,1206,43946,15,France,FRA,52,52,1,UEFA,1994-03-15,1994
212,1207,43911,14,Mexico,MEX,52,51,3,CONCACAF,1994-03-15,1994
213,1208,43953,13,Republic of Ireland,IRL,53,54,2,UEFA,1994-03-15,1994
214,1209,43942,12,England,ENG,54,54,0,UEFA,1994-03-15,1994
215,1210,43954,11,Italy,ITA,54,57,4,UEFA,1994-03-15,1994
216,1211,43964,10,Romania,ROU,54,50,8,UEFA,1994-03-15,1994
217,1212,43960,9,Netherlands,NED,55,57,6,UEFA,1994-03-15,1994
218,1213,43922,8,Argentina,ARG,55,55,1,CONMEBOL,1994-03-15,1994
219,1214,43970,7,Sweden,SWE,55,54,3,UEFA,1994-03-15,1994
220,1215,43969,6,Spain,ESP,56,57,0,UEFA,1994-03-15,1994
221,1216,43971,5,Switzerland,SUI,56,56,3,UEFA,1994-03-15,1994
222,1217,43831,83,Oman,OMA,20,20,3,AFC,1994-03-15,1994
223,1218,43941,4,Denmark,DEN,57,57,0,UEFA,1994-03-15,1994
224,1219,43926,20,Colombia,COL,49,49,0,CONMEBOL,1994-03-15,1994
225,1220,43921,21,USA,USA,47,47,0,CONCACAF,1994-03-15,1994
226,1221,43891,22,Zambia,ZAM,45,43,8,CAF,1994-03-15,1994
227,1222,43936,23,Bulgaria,BUL,45,45,0,UEFA,1994-03-15,1994
228,1223,43892,41,Zimbabwe,ZIM,36,35,5,CAF,1994-03-15,1994
229,1224,43822,40,Korea Republic,KOR,36,37,2,AFC,1994-03-15,1994
230,1225,43819,39,Japan,JPN,36,36,4,AFC,1994-03-15,1994
231,1226,43945,38,Finland,FIN,37,37,3,UEFA,1994-03-15,1994
232,1227,43843,37,Algeria,ALG,38,39,0,CAF,1994-03-15,1994
233,1228,43835,36,Saudi Arabia,KSA,39,39,0,AFC,1994-03-15,1994
234,1229,43934,35,Austria,AUT,40,40,1,UEFA,1994-03-15,1994
235,1230,43949,34,Greece,GRE,40,42,2,UEFA,1994-03-15,1994
236,1231,43951,43,Iceland,ISL,36,36,2,UEFA,1994-03-15,1994
237,1232,43935,33,Belgium,BEL,41,44,7,UEFA,1994-03-15,1994
238,1233,43860,31,Ghana,GHA,41,39,4,CAF,1994-03-15,1994
239,1234,43967,30,Scotland,SCO,42,45,5,UEFA,1994-03-15,1994
240,1235,43872,29,Morocco,MAR,44,44,1,CAF,1994-03-15,1994
241,1236,43854,28,Côte d'Ivoire,CIV,44,42,3,CAF,1994-03-15,1994
242,1237,43974,27,Wales,WAL,44,44,0,UEFA,1994-03-15,1994
243,1238,43849,26,Cameroon,CMR,44,44,3,CAF,1994-03-15,1994
244,1239,43855,25,Egypt,EGY,44,46,3,CAF,1994-03-15,1994
245,1240,43962,24,Poland,POL,45,45,0,UEFA,1994-03-15,1994
246,1241,43888,32,Tunisia,TUN,41,41,1,CAF,1994-03-15,1994
247,1242,43827,84,Malaysia,MAS,20,20,0,AFC,1994-03-15,1994
248,1243,43938,125,Croatia,CRO,8,8,3,UEFA,1994-03-15,1994
249,1244,43957,86,Lithuania,LTU,19,19,1,UEFA,1994-03-15,1994
250,1245,43870,146,Mauritania,MTN,3,3,2,CAF,1994-03-15,1994
251,1246,43846,145,Botswana,BOT,3,3,2,CAF,1994-03-15,1994
252,1247,43981,144,Tahiti,TAH,4,4,2,OFC,1994-03-15,1994
253,1248,43832,143,Pakistan,PAK,4,4,2,AFC,1994-03-15,1994
254,1249,43937,142,Belarus,BLR,4,4,2,UEFA,1994-03-15,1994
255,1250,43917,141,St. Lucia,LCA,4,4,2,CONCACAF,1994-03-15,1994
256,1251,43900,140,Cayman Islands,CAY,4,1,13,CONCACAF,1994-03-15,1994
257,1252,43908,147,Haiti,HAI,3,3,2,CONCACAF,1994-03-15,1994
258,1253,43864,139,Lesotho,LES,5,5,2,CAF,1994-03-15,1994
259,1254,43841,137,Vietnam,VIE,5,5,2,AFC,1994-03-15,1994
260,1255,43845,136,Benin,BEN,6,7,6,CAF,1994-03-15,1994
261,1256,43871,135,Mauritius,MRI,7,7,2,CAF,1994-03-15,1994
262,1257,43918,133,St. Vincent / Grenadines,VIN,7,7,5,CONCACAF,1994-03-15,1994
263,1258,43905,132,Grenada,GRN,7,5,6,CONCACAF,1994-03-15,1994
264,1259,43914,131,Panama,PAN,7,7,0,CONCACAF,1994-03-15,1994
265,1260,43865,130,Liberia,LBR,8,8,4,CAF,1994-03-15,1994
266,1261,43907,138,Guyana,GUY,5,5,2,CONCACAF,1994-03-15,1994
267,1262,43824,148,Laos,LAO,2,2,2,AFC,1994-03-15,1994
268,1263,43850,149,Cabo Verde,CPV,2,2,2,CAF,1994-03-15,1994
269,1264,43828,150,Maldives,MDV,2,2,2,AFC,1994-03-15,1994
270,1265,43961,3,Norway,NOR,58,57,2,UEFA,1994-03-15,1994
271,1266,43894,166,Aruba,ARU,0,0,2,CONCACAF,1994-03-15,1994
272,1267,43982,165,Vanuatu,VAN,0,0,2,OFC,1994-03-15,1994
273,1268,43833,164,Philippines,PHI,0,0,2,AFC,1994-03-15,1994
274,1269,43856,163,Equatorial Guinea,EQG,0,0,2,CAF,1994-03-15,1994
275,1270,43813,162,Chinese Taipei,TPE,0,0,2,AFC,1994-03-15,1994
276,1271,43902,161,Cuba,CUB,0,0,3,CONCACAF,1994-03-15,1994
277,1272,43956,160,Liechtenstein,LIE,0,0,2,UEFA,1994-03-15,1994
278,1273,43880,158,Seychelles,SEY,0,0,2,CAF,1994-03-15,1994
279,1274,43851,158,Central African Republic,CTA,0,0,2,CAF,1994-03-15,1994
280,1275,43874,157,Namibia,NAM,0,0,2,CAF,1994-03-15,1994
281,1276,43947,156,Georgia,GEO,0,0,0,UEFA,1994-03-15,1994
282,1277,43913,155,Nicaragua,NCA,1,1,1,CONCACAF,1994-03-15,1994
283,1278,43866,154,Libya,LBY,1,2,3,CAF,1994-03-15,1994
284,1279,43903,153,Dominican Republic,DOM,1,1,1,CONCACAF,1994-03-15,1994
285,1280,43810,152,Brunei Darussalam,BRU,2,2,2,AFC,1994-03-15,1994
286,1281,43980,151,Solomon Islands,SOL,2,2,2,OFC,1994-03-15,1994
287,1282,43837,129,Sri Lanka,SRI,8,8,2,AFC,1994-03-15,1994
288,1283,43906,128,Guatemala,GUA,8,8,5,CONCACAF,1994-03-15,1994
289,1284,43830,127,Nepal,NEP,8,8,3,AFC,1994-03-15,1994
290,1285,43966,126,San Marino,SMR,8,9,5,UEFA,1994-03-15,1994
291,1286,43815,103,India,IND,13,13,2,AFC,1994-03-15,1994
292,1287,43885,102,Swaziland,SWZ,13,13,2,CAF,1994-03-15,1994
293,1288,43896,101,Barbados,BRB,14,12,6,CONCACAF,1994-03-15,1994
294,1289,43886,100,Tanzania,TAN,14,14,4,CAF,1994-03-15,1994
295,1290,43814,99,Hong Kong,HKG,14,14,2,AFC,1994-03-15,1994
296,1291,43857,98,Ethiopia,ETH,14,15,3,CAF,1994-03-15,1994
297,1292,43915,97,Puerto Rico,PUR,15,12,8,CONCACAF,1994-03-15,1994
298,1293,43889,96,Uganda,UGA,15,15,2,CAF,1994-03-15,1994
299,1294,43932,95,Albania,ALB,15,16,2,UEFA,1994-03-15,1994
300,1295,43931,94,Venezuela,VEN,16,16,2,CONMEBOL,1994-03-15,1994
301,1296,43920,93,Trinidad and Tobago,TRI,16,16,4,CONCACAF,1994-03-15,1994
302,1297,43883,92,South Africa,RSA,16,14,6,CAF,1994-03-15,1994
303,1298,43842,91,Yemen,YEM,16,16,0,AFC,1994-03-15,1994
304,1299,43973,90,Ukraine,UKR,16,16,0,UEFA,1994-03-15,1994
305,1300,43955,89,Latvia,LVA,17,18,2,UEFA,1994-03-15,1994
306,1301,43820,88,Jordan,JOR,17,18,0,AFC,1994-03-15,1994
307,1302,43898,87,Bermuda,BER,19,19,1,CONCACAF,1994-03-15,1994
308,1303,43847,104,Burkina Faso,BFA,13,9,13,CAF,1994-03-15,1994
309,1304,43838,85,Syria,SYR,20,20,3,AFC,1994-03-15,1994
310,1305,43867,105,Madagascar,MAD,13,13,6,CAF,1994-03-15,1994
311,1306,43848,107,Burundi,BDI,12,12,4,CAF,1994-03-15,1994
312,1307,43844,124,Angola,ANG,9,11,11,CAF,1994-03-15,1994
313,1308,43968,123,Slovenia,SVN,9,6,11,UEFA,1994-03-15,1994
314,1309,43887,122,Togo,TOG,9,9,2,CAF,1994-03-15,1994
315,1310,43884,121,Sudan,SDN,9,9,2,CAF,1994-03-15,1994
316,1311,1882218,120,Antigua and Barbuda,ATG,9,9,4,CONCACAF,1994-03-15,1994
317,1312,43809,119,Bangladesh,BAN,10,10,4,AFC,1994-03-15,1994
318,1313,43944,118,Faroe Islands,FRO,10,10,4,UEFA,1994-03-15,1994
319,1314,43862,117,Guinea-Bissau,GNB,10,7,15,CAF,1994-03-15,1994
320,1315,43958,116,Luxembourg,LUX,11,11,5,UEFA,1994-03-15,1994
321,1316,43873,115,Mozambique,MOZ,11,11,3,CAF,1994-03-15,1994
322,1317,43829,114,Myanmar,MYA,11,11,4,AFC,1994-03-15,1994
323,1318,43943,113,Estonia,EST,11,11,4,UEFA,1994-03-15,1994
324,1319,43825,112,Lebanon,LBN,11,11,4,AFC,1994-03-15,1994
325,1320,43977,111,Fiji,FIJ,12,12,5,OFC,1994-03-15,1994
326,1321,43859,110,Gambia,GAM,12,8,15,CAF,1994-03-15,1994
327,1322,43919,109,Suriname,SUR,12,9,9,CONCACAF,1994-03-15,1994
328,1323,43816,108,Indonesia,IDN,12,12,4,AFC,1994-03-15,1994
329,1324,43853,106,Congo,CGO,12,13,4,CAF,1994-03-15,1994
330,1325,43924,2,Brazil,BRA,58,58,0,CONMEBOL,1994-03-15,1994
331,1326,43826,167,Macau,MAC,0,0,2,AFC,1994-03-15,1994
332,1327,43852,167,Chad,CHA,0,0,2,CAF,1994-03-15,1994
333,1328,43948,1,Germany,GER,59,59,0,UEFA,1994-03-15,1994
334,1329,43919,110,Suriname,SUR,12,12,1,CONCACAF,1994-04-19,1994
335,1330,43857,111,Ethiopia,ETH,12,14,13,CAF,1994-04-19,1994
336,1331,43977,112,Fiji,FIJ,12,12,1,OFC,1994-04-19,1994
337,1332,43958,113,Luxembourg,LUX,11,11,3,UEFA,1994-04-19,1994
338,1333,43825,114,Lebanon,LBN,11,11,2,AFC,1994-04-19,1994
339,1334,43943,115,Estonia,EST,11,11,2,UEFA,1994-04-19,1994
340,1335,43829,116,Myanmar,MYA,11,11,2,AFC,1994-04-19,1994
341,1336,43968,117,Slovenia,SVN,11,9,6,UEFA,1994-04-19,1994
